box_type,model,forecast_week,forecast_value,mae,rmse
FB,GlobalRandomForest,1,81.89,7.568068181818182,9.271772809054763
FB,GlobalRandomForest,2,82.155,7.568068181818182,9.271772809054763
FB,GlobalRandomForest,3,82.45,7.568068181818182,9.271772809054763
FB,GlobalRandomForest,4,82.465,7.568068181818182,9.271772809054763
LFV,GlobalRandomForest,1,80.77,7.568068181818182,9.271772809054763
LFV,GlobalRandomForest,2,82.065,7.568068181818182,9.271772809054763
LFV,GlobalRandomForest,3,77.93,7.568068181818182,9.271772809054763
LFV,GlobalRandomForest,4,77.45,7.568068181818182,9.271772809054763
LV,GlobalRandomForest,1,81.005,7.568068181818182,9.271772809054763
LV,GlobalRandomForest,2,82.125,7.568068181818182,9.271772809054763
LV,GlobalRandomForest,3,78.185,7.568068181818182,9.271772809054763
LV,GlobalRandomForest,4,78.265,7.568068181818182,9.271772809054763
MFV,GlobalRandomForest,1,76.055,7.568068181818182,9.271772809054763
MFV,GlobalRandomForest,2,75.81,7.568068181818182,9.271772809054763
MFV,GlobalRandomForest,3,74.83,7.568068181818182,9.271772809054763
MFV,GlobalRandomForest,4,77.18,7.568068181818182,9.271772809054763
MV,GlobalRandomForest,1,79.655,7.568068181818182,9.271772809054763
MV,GlobalRandomForest,2,78.625,7.568068181818182,9.271772809054763
MV,GlobalRandomForest,3,78.07,7.568068181818182,9.271772809054763
MV,GlobalRandomForest,4,78.47,7.568068181818182,9.271772809054763
SFV,GlobalRandomForest,1,85.85,7.568068181818182,9.271772809054763
SFV,GlobalRandomForest,2,85.98,7.568068181818182,9.271772809054763
SFV,GlobalRandomForest,3,84.665,7.568068181818182,9.271772809054763
SFV,GlobalRandomForest,4,83.325,7.568068181818182,9.271772809054763
SV,GlobalRandomForest,1,78.93,7.568068181818182,9.271772809054763
SV,GlobalRandomForest,2,80.255,7.568068181818182,9.271772809054763
SV,GlobalRandomForest,3,77.995,7.568068181818182,9.271772809054763
SV,GlobalRandomForest,4,78.685,7.568068181818182,9.271772809054763
XSFV,GlobalRandomForest,1,79.185,7.568068181818182,9.271772809054763
XSFV,GlobalRandomForest,2,78.57,7.568068181818182,9.271772809054763
XSFV,GlobalRandomForest,3,79.725,7.568068181818182,9.271772809054763
XSFV,GlobalRandomForest,4,78.305,7.568068181818182,9.271772809054763
